UID,buying_price,maintainence_cost,number_of_doors,number_of_seats,luggage_boot_size,safety_rating,popularity
868,3,1,4,4,1,2,1
869,2,3,3,5,3,1,1
870,3,2,2,5,3,1,1
871,2,1,2,4,1,3,3
872,3,2,3,2,1,1,1
873,3,2,5,2,2,3,1
874,1,3,5,4,2,3,4
875,3,2,3,2,1,3,1
876,1,1,5,2,2,1,1
877,2,4,5,5,1,3,2
878,2,4,5,4,1,2,1
879,2,2,3,2,1,1,1
880,2,1,5,5,3,3,4
881,2,1,2,4,3,3,4
882,4,2,5,4,2,1,1
883,2,1,4,2,1,2,1
884,3,2,4,5,2,3,2
885,4,2,5,5,3,3,2
886,1,2,2,2,2,2,1
887,3,1,5,4,2,2,2
888,2,3,4,4,1,2,1
889,1,4,4,4,2,2,2
890,2,4,2,5,2,2,1
891,4,2,3,4,1,3,2
892,2,2,3,5,2,3,4
893,2,1,5,4,1,2,2
894,4,2,2,2,1,1,1
895,1,2,5,2,1,3,1
896,3,1,3,4,1,3,2
897,2,2,3,4,3,1,1
898,2,2,3,2,3,3,1
899,4,2,3,4,3,3,2
900,2,4,3,2,3,2,1
901,4,1,5,2,1,2,1
902,4,4,5,2,1,2,1
903,2,1,3,2,2,3,1
904,3,2,4,2,2,1,1
905,1,1,5,2,1,3,1
906,4,1,4,2,3,3,1
907,3,2,4,5,3,1,1
908,4,4,2,4,1,3,1
909,4,3,3,5,2,1,1
910,4,2,2,5,1,2,1
911,4,4,2,4,3,1,1
912,2,2,2,4,3,2,2
913,1,2,4,4,3,1,1
914,1,2,4,5,2,3,4
915,3,1,2,2,2,3,1
916,2,3,4,2,3,3,1
917,3,3,5,5,2,3,2
918,4,1,5,5,1,1,1
919,1,3,5,5,2,2,2
920,4,4,4,2,2,2,1
921,2,4,3,2,3,1,1
922,1,4,4,4,3,3,2
923,3,1,5,2,3,2,1
924,4,1,5,5,2,2,2
925,3,1,3,4,2,3,2
926,3,4,5,4,1,2,1
927,3,4,4,5,1,1,1
928,2,3,5,5,1,1,1
929,1,1,2,2,2,1,1
930,4,2,3,2,3,1,1
931,4,1,3,2,3,1,1
932,2,2,5,4,3,3,4
933,2,3,3,2,3,2,1
934,3,1,5,5,3,1,1
935,1,4,4,4,1,1,1
936,4,1,2,2,1,2,1
937,1,1,3,4,1,2,2
938,4,4,2,4,2,3,1
939,2,1,2,2,3,2,1
940,1,2,3,4,2,3,3
941,2,3,5,2,2,1,1
942,4,2,4,2,3,3,1
943,3,1,2,4,3,3,2
944,3,3,3,4,2,2,1
945,1,2,3,5,1,3,3
946,2,4,5,2,2,3,1
947,4,2,3,2,2,1,1
948,2,1,2,5,2,2,2
949,2,3,2,2,1,1,1
950,3,2,4,5,1,2,1
951,1,4,5,5,1,3,2
952,4,3,4,2,3,3,1
953,4,1,3,4,3,3,2
954,3,4,2,4,2,3,1
955,2,3,5,2,1,1,1
956,1,1,5,2,3,2,1
957,2,2,3,2,2,2,1
958,3,3,4,2,1,2,1
959,1,2,5,2,2,1,1
960,4,2,4,4,3,1,1
961,3,1,5,4,2,3,2
962,2,4,4,4,3,3,2
963,3,2,4,4,2,1,1
964,1,4,4,5,2,1,1
965,4,1,3,4,3,1,1
966,3,4,3,4,2,2,1
967,4,3,4,5,1,3,1
968,3,1,3,4,3,1,1
969,2,2,5,2,1,3,1
970,2,3,5,2,3,2,1
971,3,3,2,2,3,3,1
972,4,4,2,4,1,2,1
973,1,2,4,4,2,2,3
974,1,3,5,5,3,1,1
975,2,3,3,5,2,1,1
976,3,1,5,5,3,2,2
977,3,2,3,2,1,2,1
978,2,1,2,4,3,1,1
979,2,1,5,4,3,1,1
980,2,2,5,4,1,3,2
981,1,1,4,5,3,1,1
982,4,4,3,4,1,1,1
983,1,1,4,2,1,2,1
984,4,1,5,4,1,1,1
985,3,1,2,4,1,2,1
986,4,2,3,2,1,3,1
987,3,4,5,2,1,3,1
988,3,2,5,4,3,1,1
989,4,3,2,5,2,1,1
990,2,3,4,4,3,3,2
991,1,2,3,4,1,2,2
992,4,4,2,2,1,3,1
993,1,4,2,5,1,1,1
994,1,4,3,5,1,3,2
995,2,3,3,5,1,1,1
996,3,1,4,4,2,3,2
997,4,2,3,2,3,2,1
998,3,4,4,2,1,1,1
999,1,2,2,2,3,1,1
1000,2,2,2,4,1,3,2
1001,1,2,2,4,1,3,3
1002,4,1,4,5,3,1,1
1003,3,1,4,5,3,2,2
1004,4,2,4,5,2,2,2
1005,3,3,2,5,1,3,1
1006,1,1,4,2,3,2,1
1007,2,2,5,4,3,1,1
1008,4,2,4,2,3,2,1
1009,2,2,4,2,1,2,1
1010,1,4,3,2,1,2,1
1011,4,2,3,5,1,1,1
1012,4,3,5,5,2,3,1
1013,2,3,2,4,1,2,1
1014,1,3,3,2,1,1,1
1015,3,2,5,5,2,1,1
1016,2,4,4,2,3,3,1
1017,4,3,3,2,1,2,1
